name,score,last_updated
Lucky2,0.515,2025-04-04 16:28:33
Lucky,0.545,2025-04-04 16:25:22
Lucky,0.56,2025-04-04 16:26:41
Lucky,0.52,2025-04-04 16:27:27
Team Josh Josh Josh,0.655,2025-04-04 16:30:27
Test 23,0.605,2025-04-04 16:16:56
Test 23,0.63,2025-04-04 16:18:29
Test 23,0.63,2025-04-04 16:20:32
Test 23,0.64,2025-04-04 16:20:47
Test 3,0.585,2025-04-04 16:21:44
Test Coffee,0.635,2025-04-04 16:15:21
TEST PRinter 3,0.6,2025-04-04 16:23:26
TEST PRinter 3,0.615,2025-04-04 16:24:21
TEST PRinter,0.635,2025-04-04 16:22:48
test_team,0.535,2025-04-04 16:10:27
test_team,0.54,2025-04-04 16:10:42
